No.,Hand,Combos,Marginal,Paired,Suited,Connectedness,UTG,HJ,CO,BTN,UTG_Advice,HJ_Advice,CO Advice,BTN_Advice
1,AA,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
2,KK,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
3,QQ,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
4,JJ,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
5,TT,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
6,99,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
7,88,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
8,77,6,Yes,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
9,66,6,Yes,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
10,55,6,Yes,Yes,No,Pocket Pair,MIXED_FOLD_RAISE,RAISE,RAISE,RAISE,We recommend playing this hand with a mixed strategy from UTG. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
11,44,6,Yes,Yes,No,Pocket Pair,MIXED_FOLD_RAISE,MIXED_FOLD_RAISE,RAISE,RAISE,We recommend playing this hand with a mixed strategy from UTG. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,We recommend playing this hand with a mixed strategy from HJ. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
12,33,6,Yes,Yes,No,Pocket Pair,MIXED_FOLD_RAISE,MIXED_FOLD_RAISE,RAISE,RAISE,We recommend playing this hand with a mixed strategy from UTG. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,We recommend playing this hand with a mixed strategy from HJ. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
13,22,6,Yes,Yes,No,Pocket Pair,MIXED_FOLD_RAISE,MIXED_FOLD_RAISE,RAISE,RAISE,We recommend playing this hand with a mixed strategy from UTG. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,We recommend playing this hand with a mixed strategy from HJ. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
14,AKs,4,No,No,Yes,Connected,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
15,AQs,4,No,No,Yes,1-Gap,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
16,AJs,4,No,No,Yes,2-Gaps,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
17,ATs,4,No,No,Yes,3-Gaps,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
18,A9s,4,No,No,Yes,Not Connected,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
19,A8s,4,No,No,Yes,Not Connected,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
20,A7s,4,No,No,Yes,Not Connected,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
21,A6s,4,No,No,Yes,Not Connected,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
22,A5s,4,No,No,Yes,3-Gaps,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
23,A4s,4,Yes,No,Yes,2-Gaps,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
24,A3s,4,Yes,No,Yes,1-Gap,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
25,A2s,4,Yes,No,Yes,Connected,FOLD,RAISE,RAISE,RAISE,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
26,AKo,12,No,No,No,Connected,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
27,AQo,12,No,No,No,1-Gap,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
28,AJo,12,Yes,No,No,2-Gaps,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
29,ATo,12,Yes,No,No,3-Gaps,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
30,A9o,12,Yes,No,No,Not Connected,FOLD,MIXED_FOLD_RAISE,RAISE,RAISE,This hand is too weak and vulnerable to play from UTG. Fold it!,We recommend playing this hand with a mixed strategy from HJ. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
31,A8o,12,Yes,No,No,Not Connected,FOLD,FOLD,RAISE,RAISE,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
32,A7o,12,Yes,No,No,Not Connected,FOLD,FOLD,FOLD,RAISE,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
33,A6o,12,Yes,No,No,Not Connected,FOLD,FOLD,FOLD,RAISE,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
34,A5o,12,Yes,No,No,3-Gaps,FOLD,FOLD,FOLD,RAISE,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
35,A4o,12,Yes,No,No,2-Gaps,FOLD,FOLD,FOLD,RAISE,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
36,A3o,12,Yes,No,No,1-Gap,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
37,A2o,12,Yes,No,No,Connected,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
38,KQs,4,No,No,Yes,Connected,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
39,KJs,4,No,No,Yes,1-Gap,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
40,KTs,4,No,No,Yes,2-Gaps,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
41,K9s,4,Yes,No,Yes,3-Gaps,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
42,K8s,4,Yes,No,Yes,Not Connected,MIXED_FOLD_RAISE,RAISE,RAISE,RAISE,We recommend playing this hand with a mixed strategy from UTG. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
43,K7s,4,Yes,No,Yes,Not Connected,MIXED_FOLD_RAISE,RAISE,RAISE,RAISE,We recommend playing this hand with a mixed strategy from UTG. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
44,K6s,4,Yes,No,Yes,Not Connected,MIXED_FOLD_RAISE,RAISE,RAISE,RAISE,We recommend playing this hand with a mixed strategy from UTG. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
